chapter,word,word_num,tot_words,ch_num,value,sum_sent,wds_norm,sum_norm,ch_name
Span notes 1 aardborg.rtf,late,0,4471,1,0,0,0,0,Aardborg
Span notes 1 aardborg.rtf,nice,25,4471,1,4.553638253638253,4.553638253638253,0.005634437683119224,0.028075334134033018,Aardborg
Span notes 1 aardborg.rtf,competitive,28,4471,1,3.0357588357588354,7.589397089397089,0.006310570205093531,0.0467922235567217,Aardborg
Span notes 1 aardborg.rtf,missed,34,4471,1,-2,5.589397089397089,0.007662835249042145,0.034461277368099244,Aardborg
Span notes 1 aardborg.rtf,war,36,4471,1,-2,3.5893970893970883,0.008113590263691683,0.022130331179476784,Aardborg
Span notes 1 aardborg.rtf,calms,84,4471,1,3.0357588357588354,6.625155925155924,0.018931710615280595,0.04084722060216546,Aardborg
Span notes 1 aardborg.rtf,death,156,4471,1,-2,4.625155925155924,0.03515889114266396,0.028516274413543007,Aardborg
Span notes 1 aardborg.rtf,attack,161,4471,1,-1,3.6251559251559238,0.036285778679287804,0.022350801319231776,Aardborg
Span notes 1 aardborg.rtf,fire,170,4471,1,-2,1.6251559251559238,0.038314176245210725,0.010019855130609321,Aardborg
Span notes 1 aardborg.rtf,grants,182,4471,1,1.5178794178794177,3.1430353430353417,0.04101870633310795,0.01937829984195366,Aardborg
Span notes 1 aardborg.rtf,inspiration,186,4471,1,3.0357588357588354,6.178794178794177,0.04192021636240703,0.03809518926464234,Aardborg
Span notes 1 aardborg.rtf,charges,209,4471,1,-2,4.178794178794177,0.047103899030876716,0.02576424307601988,Aardborg
Span notes 1 aardborg.rtf,damage,223,4471,1,-3,1.178794178794177,0.050259184133423486,0.007267823793086198,Aardborg
Span notes 1 aardborg.rtf,fine,231,4471,1,3.0357588357588354,4.214553014553013,0.052062204192021636,0.02598471321577488,Aardborg
Span notes 1 aardborg.rtf,stab,242,4471,1,-2,2.2145530145530126,0.05454135677259409,0.013653767027152422,Aardborg
Span notes 1 aardborg.rtf,stab,270,4471,1,-2,0.21455301455301234,0.060851926977687626,0.001322820838529963,Aardborg
Span notes 1 aardborg.rtf,greets,310,4471,1,1.5178794178794177,1.73243243243243,0.06986702727067838,0.010681265549874303,Aardborg
Span notes 1 aardborg.rtf,missing,350,4471,1,-2,-0.26756756756756994,0.07888212756366915,-0.0016496806387481541,Aardborg
Span notes 1 aardborg.rtf,overweight,366,4471,1,-1,-1.26756756756757,0.08248816768086545,-0.007815153733059382,Aardborg
Span notes 1 aardborg.rtf,limited,429,4471,1,-1,-2.26756756756757,0.0966869506423259,-0.01398062682737061,Aardborg
Span notes 1 aardborg.rtf,scold,442,4471,1,-2,-4.2675675675675695,0.09961685823754789,-0.026311573015993066,Aardborg
Span notes 1 aardborg.rtf,congrats,467,4471,1,3.0357588357588354,-1.2318087318087345,0.10525129592066712,-0.007594683593304389,Aardborg
