chapter,word,word_num,tot_words,ch_num,value,sum_sent,wds_norm,sum_length_adj,sum_norm,ch_name
Span notes 1 aardborg.txt,late,0,4500,1,0,0,0,0,0,Aardborg
Span notes 1 aardborg.txt,nice,26,4500,1,4.567182246133154,4.567182246133154,0.005821764442454098,0.0010226561231825243,0.030163299912298422,Aardborg
Span notes 1 aardborg.txt,competitive,30,4500,1,3.0447881640887693,7.6119704102219234,0.006717420510523959,0.001704426871970874,0.050272166520497374,Aardborg
Span notes 1 aardborg.txt,missed,36,4500,1,-2,5.6119704102219234,0.00806090461262875,0.0012565988379359436,0.037063453451148566,Aardborg
Span notes 1 aardborg.txt,war,38,4500,1,-2,3.611970410221923,0.00850873264666368,8.087708039010128e-4,0.02385474038179975,Aardborg
Span notes 1 aardborg.txt,calms,88,4500,1,3.0447881640887693,6.656758574310692,0.019704433497536946,0.0014905415526893623,0.043963606989998696,Aardborg
Span notes 1 aardborg.txt,death,160,4500,1,-2,4.656758574310692,0.035826242722794444,0.0010427135186544317,0.030754893920649885,Aardborg
Span notes 1 aardborg.txt,attack,165,4500,1,-1,3.6567585743106923,0.03694581280788178,8.187995016369665e-4,0.024150537385975484,Aardborg
Span notes 1 aardborg.txt,fire,174,4500,1,-2,1.6567585743106923,0.03896103896103896,3.7097146760203586e-4,0.01094182431662667,Aardborg
Span notes 1 aardborg.txt,grants,186,4500,1,1.5223940820443846,3.179152656355077,0.041648007165248545,7.118568419962108e-4,0.02099625762072615,Aardborg
Span notes 1 aardborg.txt,inspiration,190,4500,1,3.0447881640887693,6.223940820443846,0.04254366323331841,0.0013936275907845603,0.041105124228925094,Aardborg
Span notes 1 aardborg.txt,charges,213,4500,1,-2,4.223940820443846,0.04769368562472011,9.457995567496297e-4,0.027896411159576286,Aardborg
Span notes 1 aardborg.txt,damage,227,4500,1,-3,1.2239408204438462,0.05082848186296462,2.7405750569723384e-4,0.00808334155555307,Aardborg
Span notes 1 aardborg.txt,fine,235,4500,1,3.0447881640887693,4.268728984532616,0.052619793999104346,9.558282544855835e-4,0.02819220816375202,Aardborg
Span notes 1 aardborg.txt,stab,246,4500,1,-2,2.2687289845326157,0.05508284818629646,5.080002204506528e-4,0.014983495094403207,Aardborg
Span notes 1 aardborg.txt,stab,274,4500,1,-2,0.2687289845326155,0.06135244066278549,6.017218641572224e-5,0.0017747820250543966,Aardborg
Span notes 1 aardborg.txt,greets,314,4500,1,1.5223940820443846,1.7911230665770002,0.0703090013434841,4.01057560809897e-4,0.011829215329153871,Aardborg
Span notes 1 aardborg.txt,missing,356,4500,1,-2,-0.20887693342299984,0.07971339005821765,-4.6770473225033555e-05,-0.0013794977401949398,Aardborg
Span notes 1 aardborg.txt,overweight,373,4500,1,-1,-1.2088769334229998,0.08351992834751455,-2.7068449024249887e-4,-0.007983854274869346,Aardborg
Span notes 1 aardborg.txt,limited,438,4500,1,-1,-2.208876933423,0.0980743394536498,-4.945985072599641e-4,-0.01458821080954375,Aardborg
Span notes 1 aardborg.txt,scold,451,4500,1,-2,-4.208876933422999,0.10098522167487685,-9.424265412948947e-4,-0.02779692387889256,Aardborg
