chapter,char,sentiment,sum_sent,words,ch_num,ch_name
SPAN notes 10 widebridge.txt,dane,surprise,4,440,10,Widebridge
SPAN notes 10 widebridge.txt,dane,trust,20,440,10,Widebridge
SPAN notes 10 widebridge.txt,evertonette,anger,8,204,10,Widebridge
SPAN notes 10 widebridge.txt,evertonette,anticipation,8,204,10,Widebridge
SPAN notes 10 widebridge.txt,evertonette,disgust,3,204,10,Widebridge
SPAN notes 10 widebridge.txt,evertonette,fear,12,204,10,Widebridge
SPAN notes 10 widebridge.txt,evertonette,joy,7,204,10,Widebridge
SPAN notes 10 widebridge.txt,evertonette,sadness,6,204,10,Widebridge
SPAN notes 10 widebridge.txt,evertonette,surprise,4,204,10,Widebridge
SPAN notes 10 widebridge.txt,evertonette,trust,8,204,10,Widebridge
SPAN notes 10 widebridge.txt,rinoa,anger,4,103,10,Widebridge
SPAN notes 10 widebridge.txt,rinoa,anticipation,2,103,10,Widebridge
SPAN notes 10 widebridge.txt,rinoa,disgust,2,103,10,Widebridge
SPAN notes 10 widebridge.txt,rinoa,fear,5,103,10,Widebridge
SPAN notes 10 widebridge.txt,rinoa,sadness,1,103,10,Widebridge
SPAN notes 10 widebridge.txt,rinoa,surprise,2,103,10,Widebridge
SPAN notes 10 widebridge.txt,rinoa,trust,3,103,10,Widebridge
SPAN notes 10 widebridge.txt,rook,anger,7,211,10,Widebridge
SPAN notes 10 widebridge.txt,rook,anticipation,4,211,10,Widebridge
SPAN notes 10 widebridge.txt,rook,disgust,3,211,10,Widebridge
SPAN notes 10 widebridge.txt,rook,fear,10,211,10,Widebridge
SPAN notes 10 widebridge.txt,rook,joy,2,211,10,Widebridge
SPAN notes 10 widebridge.txt,rook,sadness,8,211,10,Widebridge
SPAN notes 10 widebridge.txt,rook,surprise,2,211,10,Widebridge
SPAN notes 10 widebridge.txt,rook,trust,4,211,10,Widebridge
SPAN notes 10 widebridge.txt,xotl,anger,7,178,10,Widebridge
SPAN notes 10 widebridge.txt,xotl,anticipation,5,178,10,Widebridge
SPAN notes 10 widebridge.txt,xotl,fear,6,178,10,Widebridge
SPAN notes 10 widebridge.txt,xotl,joy,1,178,10,Widebridge
SPAN notes 10 widebridge.txt,xotl,sadness,3,178,10,Widebridge
SPAN notes 10 widebridge.txt,xotl,surprise,6,178,10,Widebridge
SPAN notes 10 widebridge.txt,xotl,trust,1,178,10,Widebridge
SPAN notes 11a merylsward prologue.txt,LT-031,anger,68,2569,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,LT-031,anticipation,43,2569,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,LT-031,disgust,24,2569,11,Merylsward Prologue
SPAN notes 11a merylsward prologue.txt,LT-031,fear,69,2569,11,Merylsward Prologue
